"region","hemi","community","community_name","mean_beta","mean_tvalue"
"AIP","left",6,"DAN",0.00221385394219439,1.06836221648045
"AIP","right",6,"DAN",0.00226624894792434,1.09094254491855
"AVI","left",3,"SAL",-0.000430415518627567,-0.2073012068854
"AVI","right",3,"SAL",0.000781955302905843,0.37618511496022
"DVT","left",11,"MTL",0.000139414676767642,0.0669475958888312
"DVT","right",1,"VIS",0.00376432373005155,1.81419301045893
"EC","left",10,"DMN",-0.000434893001100136,-0.209775041620259
"EC","right",10,"DMN",-0.00155145215726554,-0.748837151346448
"FEF","left",6,"DAN",0.000835611074930977,0.400344095720521
"FEF","right",6,"DAN",-0.00304436301757946,-1.46450358035884
"FFC","left",1,"VIS",4.19004256022138e-05,0.0201466939427636
"FFC","right",1,"VIS",0.00165595206141128,0.798550932433895
"FOP1","left",9,"AUD",-0.00119726165895278,-0.576446292511189
"FOP1","right",9,"AUD",0.00145119100542257,0.700621173414374
"FOP2","left",2,"SM",-0.00406792553683801,-1.96245992277126
"FOP2","right",2,"SM",0.000325027845639515,0.156512220309364
"FOP3","left",9,"AUD",-0.000483927189548017,-0.233459704145825
"FOP3","right",9,"AUD",0.00017958209667826,0.0865948199433438
"FOP4","left",3,"SAL",-0.00212346270206405,-1.02121059769542
"FOP4","right",3,"SAL",0.00371948385318411,1.77972793697857
"FOP5","left",3,"SAL",-0.000516130484391367,-0.248598751607102
"FOP5","right",3,"SAL",0.00401492846472074,1.93234905376318
"FST","left",1,"VIS",0.00130618527154334,0.627689955106099
"FST","right",1,"VIS",0.00409644795663406,1.97473718919616
"H","left",NA,NA,-0.00107824088752937,-0.52061407517439
"H","right",NA,NA,-0.00177232234452989,-0.853735069716967
"IFJa","left",8,"FPN",-0.00140321459271331,-0.674433997510335
"IFJa","right",8,"FPN",-0.000540965671283511,-0.260062835373599
"IFJp","left",8,"FPN",-0.000135326205294208,-0.0653195761715093
"IFJp","right",8,"FPN",1.97522389599109e-05,0.00948760763881183
"IFSa","left",8,"FPN",-0.000862637863399691,-0.416111742915721
"IFSa","right",8,"FPN",-0.00200011258415854,-0.96449319220673
"IFSp","left",8,"FPN",-0.000332124924945644,-0.160176018626507
"IFSp","right",8,"FPN",0.0047941938649724,2.30762056855819
"IP0","left",1,"VIS",0.000120722676392137,0.0580535799843567
"IP0","right",11,"MTL",-0.00206022258422467,-0.992612867022877
"IP1","left",8,"FPN",-3.26435355281118e-05,-0.0157413501576194
"IP1","right",8,"FPN",-0.00259353466869508,-1.24965066676079
"IP2","left",8,"FPN",0.00190576469446244,0.916741767528149
